x,y,z
76.988,95.283,407
77.288,95.283,445
77.588,95.283,443
77.888,95.283,422
76.371,95.01,492
76.671,95.01,475
76.971,95.01,461
77.271,95.01,440
77.571,95.01,455
77.871,95.01,438
78.171,95.01,434
76.071,94.71,485
76.371,94.71,459
76.671,94.71,496
76.971,94.71,469
77.271,94.71,498
77.571,94.71,469
77.871,94.71,412
78.171,94.71,455
78.471,94.71,450
78.771,94.71,399
75.771,94.41,441
76.071,94.41,481
76.371,94.41,471
76.671,94.41,421
76.971,94.41,431
77.271,94.41,452
77.571,94.41,498
77.871,94.41,483
78.171,94.41,479
78.471,94.41,481
78.771,94.41,445
79.071,94.41,375
75.471,94.11,477
75.771,94.11,483
76.071,94.11,469
76.371,94.11,438
76.671,94.11,475
76.971,94.11,491
77.271,94.11,450
77.571,94.11,428
77.871,94.11,429
78.171,94.11,485
78.471,94.11,491
78.771,94.11,484
79.071,94.11,410
75.471,93.81,419
75.771,93.81,464
76.071,93.81,496
76.371,93.81,475
76.671,93.81,409
76.971,93.81,465
77.271,93.81,485
77.571,93.81,489
77.871,93.81,456
78.171,93.81,429
78.471,93.81,477
78.771,93.81,508
79.071,93.81,440
79.371,93.81,353
75.171,93.51,443
75.471,93.51,431
75.771,93.51,431
76.071,93.51,413
76.371,93.51,433
76.671,93.51,473
76.971,93.51,479
77.271,93.51,452
77.571,93.51,473
77.871,93.51,500
78.171,93.51,502
78.471,93.51,502
78.771,93.51,468
79.071,93.51,429
79.371,93.51,377
75.171,93.21,464
75.471,93.21,471
75.771,93.21,411
76.071,93.21,395
76.371,93.21,435
76.671,93.21,437
76.971,93.21,446
77.271,93.21,479
77.571,93.21,463
77.871,93.21,463
78.171,93.21,485
78.471,93.21,501
78.771,93.21,493
79.071,93.21,469
79.371,93.21,377
75.171,92.91,461
75.471,92.91,451
75.771,92.91,454
76.071,92.91,452
76.371,92.91,447
76.671,92.91,435
76.971,92.91,434
77.271,92.91,445
77.571,92.91,450
77.871,92.91,471
78.171,92.91,436
78.471,92.91,452
78.771,92.91,469
79.071,92.91,460
79.371,92.91,376
75.171,92.61,431
75.471,92.61,421
75.771,92.61,458
76.071,92.61,458
76.371,92.61,477
76.671,92.61,460
76.971,92.61,434
77.271,92.61,423
77.571,92.61,436
77.871,92.61,431
78.171,92.61,456
78.471,92.61,450
78.771,92.61,441
79.071,92.61,443
79.371,92.61,360
75.471,92.31,463
75.771,92.31,458
76.071,92.31,450
76.371,92.31,441
76.671,92.31,473
76.971,92.31,485
77.271,92.31,464
77.571,92.31,428
77.871,92.31,433
78.171,92.31,447
78.471,92.31,413
78.771,92.31,439
79.071,92.31,414
79.371,92.31,0
75.471,92.01,436
75.771,92.01,481
76.071,92.01,495
76.371,92.01,411
76.671,92.01,416
76.971,92.01,477
77.271,92.01,465
77.571,92.01,481
77.871,92.01,502
78.171,92.01,465
78.471,92.01,424
78.771,92.01,388
79.071,92.01,358
79.371,92.01,103
75.771,91.71,414
76.071,91.71,483
76.371,91.71,495
76.671,91.71,487
76.971,91.71,491
77.271,91.71,443
77.571,91.71,447
77.871,91.71,479
78.171,91.71,465
78.471,91.71,434
78.771,91.71,387
79.071,91.71,112
76.071,91.41,417
76.371,91.41,451
76.671,91.41,478
76.971,91.41,499
77.271,91.41,479
77.571,91.41,493
77.871,91.41,438
78.171,91.41,374
78.471,91.41,374
78.771,91.41,103
76.371,91.11,365
76.671,91.11,374
76.971,91.11,400
77.271,91.11,407
77.571,91.11,380
77.871,91.11,373
78.171,91.11,96.4
78.471,91.11,90.9
76.971,90.81,95.9
77.271,90.81,91
77.571,90.81,91.4
77.871,90.81,92
